Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Individuals using the Internet (% of population),78.9,83.78,88.66122693,93.54245387,97.17,,,,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),10.12694547,12.23771579,14.48584915,15.75332982,17.31098687,20.06302426,22.58959071,24.98840087,27.66065378
Afghanistan,AFG,Individuals using the Internet (% of population),5.9,7,8.26,11,13.5,16.8,17.6,18.4,
Africa Western and Central,AFW,Individuals using the Internet (% of population),12.5777558,14.92344071,18.10948504,22.86974961,27.08121938,32.08933702,35.27644793,41.74981907,46.99049731
Angola,AGO,Individuals using the Internet (% of population),13,21.4,22,23.2,26,29,32.12939197,32.55014678,32.60230173
Albania,ALB,Individuals using the Internet (% of population),51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.23767711,79.32371752
Andorra,AND,Individuals using the Internet (% of population),84.4,86.1,87.9,89.7,91.56746703,,90.71866533,93.20564892,93.89752157
Arab World,ARB,Individuals using the Internet (% of population),33.9101317,37.65595005,41.38161705,41.52919557,46.66467625,53.19819117,60.73102916,66.44035486,76.30907665
United Arab Emirates,ARE,Individuals using the Internet (% of population),88,90.4,90.5,90.60000732,94.81992254,98.45000178,99.14999796,100,100
Argentina,ARG,Individuals using the Internet (% of population),59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.94695203,85.51438646,87.15070683
Armenia,ARM,Individuals using the Internet (% of population),41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226,66.54394969,76.50770055,78.61225758
American Samoa,ASM,Individuals using the Internet (% of population),,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),63.4,67.78,70,73,,,95.70763132,95.68550784,95.66338947
Australia,AUS,Individuals using the Internet (% of population),83.45349717,84,84.56051491,86.54,86.54504885,90,93.60991916,96.39446689,96.24
Austria,AUT,Individuals using the Internet (% of population),80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813,92.52915104
Azerbaijan,AZE,Individuals using the Internet (% of population),73.00000137,75.00001564,77,78.2,79,79.79999549,81.09999907,84.59999573,86
Burundi,BDI,Individuals using the Internet (% of population),1.264218111,1.4,2,2.2,2.660748535,2.7,2.731443388,3.787954422,5.804921577
Belgium,BEL,Individuals using the Internet (% of population),82.1702,85,85.05294175,86.51647666,87.67968082,88.647343,90.27542801,91.52641629,92.78867618
Benin,BEN,Individuals using the Internet (% of population),4.9,6,11.25498791,14.5,18.7,19,22.41593843,28.22915416,33.96533089
Burkina Faso,BFA,Individuals using the Internet (% of population),5,6,6.55,7.14,7.79,8.5,9.27180601,13.93797176,21.57982734
Bangladesh,BGD,Individuals using the Internet (% of population),6.63,11.9,12.9,18.1,19.8,23.44,27.76,32.87,38.91744466
Bulgaria,BGR,Individuals using the Internet (% of population),53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16248359,75.27144583
Bahrain,BHR,Individuals using the Internet (% of population),90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70150438,99.67103159,100
"Bahamas, The",BHS,Individuals using the Internet (% of population),72,76.92,78,80,80.6,83,90.69327663,92.4760204,94.29380729
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),48.52131417,49.91773243,52.6,60.25653543,64.89202051,70.12013504,69.94634763,73.21175294,75.67620138
Belarus,BLR,Individuals using the Internet (% of population),54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.08791245,86.88841196
Belize,BLZ,Individuals using the Internet (% of population),33.6,38.7,41.59,44.57574032,47.0826258,49.8,57.11844188,59.50638944,61.9941698
Bermuda,BMU,Individuals using the Internet (% of population),95.3,96.8,98.32360965,98,98.37,,,,
Bolivia,BOL,Individuals using the Internet (% of population),36.99,34.6,37.49,39.6975146,43.83227607,44.2861422,47.47481911,59.94010155,65.9773785
Brazil,BRA,Individuals using the Internet (% of population),51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91243991,81.34269353,80.68989314
Barbados,BRB,Individuals using the Internet (% of population),71.8,75.16,76.11,79.54939789,81.76077839,82.48,83.20881332,82.458446,85.82
Brunei Darussalam,BRN,Individuals using the Internet (% of population),64.5,68.77,71.2,90,94.86669164,95,95,96.06912594,98.08
Bhutan,BTN,Individuals using the Internet (% of population),22.4,30.3,39.8,46.5,54.3,63.5,74.17944255,79.86984884,85.63688389
Botswana,BWA,Individuals using the Internet (% of population),30,36.74474744,37.31205037,39.36299738,41.41379464,58,64.82632542,72.74801998,73.5
Central African Republic,CAF,Individuals using the Internet (% of population),2.5,2.7,2.9,3.1,4,5.1,7.509161449,8.565672483,10.58263964
Canada,CAN,Individuals using the Internet (% of population),85.8,87.12,90,91.16,92.70137191,94.64,91.91289669,92.3,92.83401664
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),63.45410121,66.4752222,67.34296713,71.34285445,73.41063823,75.97685062,78.72907213,81.78024044,84.71241116
Switzerland,CHE,Individuals using the Internet (% of population),86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695,94.34995199,95.56937168
Channel Islands,CHI,Individuals using the Internet (% of population),,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),58,61.11,76.62959195,83.55858602,82.32748693,84.9,85.01758384,86.37099516,90.19336882
China,CHN,Individuals using the Internet (% of population),45.8,47.9,50.3,53.2,54.3,59.2,64.0808813,70.05275998,73.0532414
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),6.6,10,16.7,41.20781493,43.83992085,37.54653613,36.28895457,41.3736053,45.42553268
Cameroon,CMR,Individuals using the Internet (% of population),10,16.21487223,18.3,20.6,23.20297197,29.7,36.5391824,45.52922268,45.60217394
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),2.2,3,3.799999507,6.20997406,8.619904916,11.7,16.48118911,22.86494849,22.90158489
"Congo, Rep.",COG,Individuals using the Internet (% of population),6.6,7.11,7.615974662,8.121949323,8.65,,,,
Colombia,COL,Individuals using the Internet (% of population),51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,65.00690072,69.79533474,73.02837449
Comoros,COM,Individuals using the Internet (% of population),6.5,6.98,7.459161386,7.938322771,8.478170295,,16.38375122,21.16321517,27.33694319
